nameDisplay,name,count
Belle,Belle,142
Beast,Beast,79
Lumière,Lumière,73
Gaston,Gaston,66
Maurice,Maurice,63
Cogsworth,Cogsworth,62
Mrs Potts,MrsPotts,47
LeFou,LeFou,35
Chip,Chip,23
