name1,name2,score,source,target
Beast,Belle,46,1,0
Lumière,Cogsworth,45,2,5
Belle,Maurice,33,0,4
LeFou,Gaston,32,7,3
Gaston,Belle,28,3,0
MrsPotts,Lumière,27,6,2
Cogsworth,MrsPotts,23,5,6
Cogsworth,Belle,18,5,0
MrsPotts,Chip,17,6,8
Lumière,Beast,16,2,1
Lumière,Belle,14,2,0
Beast,Cogsworth,13,1,5
Maurice,Gaston,13,4,3
Beast,Maurice,9,1,4
Cogsworth,Chip,9,5,8
Beast,MrsPotts,9,1,6
Cogsworth,Maurice,8,5,4
