nameDisplay,name,count
Cinderella,Cinderella,174
Prince Charming,PrinceCharming,100
Anastasia,Anastasia,54
Drizella,Drizella,48
Fairy Godmother,FairyGodmother,36
Lady Tremaine,LadyTremaine,44
Grand Duke,GrandDuke,74
Jaq,Jaq,72
Gus,Gus,84
Lucifer,Lucifer,58
